t50_median,variant_label,k,variant,minimum_seed_fraction_with_ci_excluding_zero,cascade_prob_ci_low,seed_strategy,cascade_prob,cascade_prob_ci_high
77.0,fractional success + >=2,20,success_min2,0.02,0.01714919117914121,clustered,0.05,0.13700734625099836
46.5,fractional success + >=2,20,success_min2,0.02,0.40893208671135106,hub_bridge,0.5333333333333333,0.65372298459012
63.0,fractional success + >=2,20,success_min2,0.02,0.11828389736858964,random,0.2,0.3178204609181701
,fractional success + >=3,20,success_min3,,0.0,clustered,0.0,
65.5,fractional success + >=3,20,success_min3,0.05,0.02622827414319792,hub_bridge,0.06666666666666667,0.15925579893767722
,fractional success + >=3,20,success_min3,,0.0,random,0.0,
26.5,fractional success,20,success_original,0.001,0.9114466177322051,clustered,0.9833333333333333,0.9970519161391262
25.0,fractional success,20,success_original,0.001,0.9398260695220669,hub_bridge,1.0,0.9999999999999999
26.0,fractional success,20,success_original,0.001,0.9114466177322051,random,0.9833333333333333,0.9970519161391262
55.5,fractional success + >=2,50,success_min2,0.005,0.42491714548981496,clustered,0.55,0.6690654614623918
47.5,fractional success + >=2,50,success_min2,0.005,0.5576599505698345,hub_bridge,0.6833333333333333,0.7869429415882567
50.0,fractional success + >=2,50,success_min2,0.005,0.40893208671135106,random,0.5333333333333333,0.65372298459012
53.0,fractional success + >=3,50,success_min3,0.02,0.3157220039440064,clustered,0.43333333333333335,0.5589678534530513
74.5,fractional success + >=3,50,success_min3,0.01,0.01714919117914121,hub_bridge,0.05,0.13700734625099836
54.5,fractional success + >=3,50,success_min3,0.02,0.2562073884620827,random,0.36666666666666664,0.4931723263320327
34.0,fractional success,50,success_original,0.001,0.8629926537490016,clustered,0.95,0.9828508088208587
33.0,fractional success,50,success_original,0.001,0.9114466177322051,hub_bridge,0.9833333333333333,0.9970519161391262
33.0,fractional success,50,success_original,0.001,0.8863601247107462,random,0.9666666666666667,0.9908108735098498
